CASEID,HRSRELAX,MNTLHLTH
54619, 1, 0
54620, 1, 0
54621, 2, 0
54622,-1,-1
54623,-1,-1
54624, 6, 5
54625,-1,-1
54626, 0, 0
54627, 2, 0
54628, 4, 7
54629, 5, 0
54630, 5, 0
54631,-1,-1
54632, 2, 0
54633, 4, 2
54634,-1,-1
54635,-1,-1
54636, 5, 4
54637, 1, 2
54638,-1,-1
54639, 3, 0
54640,-1,-1
54641, 6,15
54642, 4, 1
54643,-1,-1
54644,-1,-1
54645,-1,-1
54646, 3, 0
54647,-1,-1
54648,-1,-1
54649,-1,-1
54650,10, 1
54651, 6, 6
54652,-1,-1
54653, 2, 0
54654,-1,-1
54655, 1,20
54656,-1,-1
54657, 2,10
54658,10, 0
54659,-1,-1
54660, 2, 8
54661, 6,10
54662,-1,-1
54663, 2, 0
54664, 1, 0
54665,-1,-1
54666, 3, 1
54667,-1,-1
54668, 5, 0
54669, 5, 0
54670, 0, 0
54671, 1, 5
54672,-1,-1
54673, 3, 4
54674, 4, 5
54675,-1,-1
54676, 0,11
54677, 2,25
54678, 1, 0
54679,-1,-1
54680, 5,30
54681,-1,-1
54682, 5, 0
54683, 3, 5
54684, 5, 5
54685,-1,-1
54686, 1, 0
54687, 2, 0
54688, 2, 5
54689,-1,-1
54690, 3, 0
54691, 2, 4
54692, 3,10
54693, 3, 5
54694, 2, 2
54695, 3, 1
54696,-1,-1
54697, 5, 5
54698,-1,-1
54699,-1,-1
54700, 4, 0
54701,-1,-1
54702,-1,-1
54703,-1,-1
54704, 1,10
54705, 2, 0
54706, 5, 0
54707, 6, 8
54708, 3, 0
54709, 6,15
54710,-1,-1
54711,-1,-1
54712,-1,-1
54713,-1,-1
54714, 1, 1
54715, 2, 0
54716, 1, 0
54717,-1,-1
54718,-1,-1
54719, 9, 0
54720, 1,20
54721, 1, 0
54722,-1,-1
54723,-1,-1
54724, 3, 5
54725, 4, 0
54726,10, 0
54727,-1,-1
54728,-1,-1
54729,-1,-1
54730,-1,-1
54731,-1,-1
54732, 4, 0
54733, 5, 0
54734, 4, 2
54735,-1,-1
54736, 4, 0
54737, 3, 0
54738, 2, 0
54739,-1,-1
54740, 1, 0
54741,-1,-1
54742, 6, 0
54743,-1,-1
54744,-1,-1
54745,-1,-1
54746,99,99
54747, 4,15
54748,-1,-1
54749,-1,-1
54750, 3, 7
54751,-1,-1
54752, 3, 6
54753, 5, 0
54754,-1,-1
54755, 2, 0
54756,-1,-1
54757,-1,-1
54758,-1,-1
54759, 2, 0
54760,-1,-1
54761, 3, 0
54762, 2, 0
54763, 3, 0
54764,-1,-1
54765, 6, 0
54766,-1,-1
54767, 2, 0
54768, 4, 0
54769,-1,-1
54770,-1,-1
54771,-1,-1
54772, 2, 0
54773,-1,-1
54774, 4, 0
54775,-1,-1
54776, 3,20
54777,-1,-1
54778, 1, 0
54779,-1,-1
54780,-1,-1
54781, 3, 0
54782, 1, 2
54783,-1,-1
54784, 3, 5
54785, 3, 0
54786, 2, 2
54787, 1, 0
54788,-1,-1
54789, 3, 0
54790,-1,-1
54791, 2, 3
54792,-1,-1
54793, 6,20
54794,-1,-1
54795, 5,15
54796, 3, 0
54797,-1,-1
54798, 4, 0
54799, 5, 0
54800,-1,-1
54801, 3, 0
54802,-1,-1
54803, 4, 0
54804,-1,-1
54805,98, 5
54806,12, 0
54807, 4, 0
54808,-1,-1
54809, 4,14
54810, 3, 0
54811,-1,-1
54812,-1,-1
54813,-1,-1
54814,-1,-1
54815, 0, 3
54816, 6, 0
54817, 1, 2
54818,-1,-1
54819,-1,-1
54820,-1,-1
54821, 3, 0
54822, 4, 0
54823,-1,-1
54824, 2, 1
54825, 2, 5
54826, 3, 2
54827, 1,99
54828,-1,-1
54829,-1,-1
54830, 6, 0
54831,-1,-1
54832,-1,-1
54833,-1,-1
54834,-1,-1
54835,-1,-1
54836, 2, 1
54837, 1,10
54838, 0, 0
54839,-1,-1
54840,-1,-1
54841,-1,-1
54842, 3, 0
54843,-1,-1
54844, 1,15
54845, 3, 0
54846,-1,-1
54847,-1,-1
54848, 5, 0
54849,-1,-1
54850, 2, 0
54851, 0, 0
54852,12, 0
54853, 4, 0
54854, 5, 0
54855, 6, 2
54856,-1,-1
54857,-1,-1
54858, 5, 5
54859, 2, 0
54860, 2, 0
54861, 2, 3
54862, 3, 0
54863,-1,-1
54864,-1,-1
54865,99,99
54866, 5, 3
54867,-1,-1
54868, 6, 1
54869,-1,-1
54870,-1,-1
54871,-1,-1
54872,-1,-1
54873, 3, 0
54874, 1, 0
54875, 6, 0
54876, 2, 3
54877, 1, 0
54878,-1,-1
54879,-1,-1
54880, 2,20
54881, 2, 0
54882,-1,-1
54883,-1,-1
54884,-1,-1
54885,-1,-1
54886,-1,-1
54887, 5, 0
54888,-1,-1
54889,-1,-1
54890,-1,-1
54891,-1,-1
54892,-1,-1
54893,-1,-1
54894,-1,-1
54895,-1,-1
54896,-1,-1
54897,-1,-1
54898, 5, 0
54899,-1,-1
54900, 4, 0
54901, 5, 7
54902,-1,-1
54903, 0, 0
54904,-1,-1
54905, 3, 4
54906,-1,-1
54907, 0, 0
54908, 3, 4
54909, 4, 0
54910, 3, 2
54911,-1,-1
54912, 0, 0
54913,-1,-1
54914,-1,-1
54915,-1,-1
54916, 6, 2
54917, 5, 0
54918, 9, 0
54919,99,99
54920, 2, 3
54921, 2, 1
54922,-1,-1
54923,-1,-1
54924,13, 0
54925,-1,-1
54926, 3,20
54927, 3, 0
54928,-1,-1
54929, 3, 0
54930, 6, 0
54931, 0, 0
54932,-1,-1
54933,-1,-1
54934, 2, 0
54935, 6, 0
54936,-1,-1
54937,-1,-1
54938, 7, 0
54939,-1,-1
54940, 1, 0
54941, 4, 1
54942, 4, 0
54943,-1,-1
54944,-1,-1
54945, 1, 0
54946, 4, 0
54947,-1,-1
54948, 2,25
54949, 5, 0
54950, 7, 0
54951,-1,-1
54952, 5, 0
54953,-1,-1
54954,10, 0
54955, 3, 2
54956,-1,-1
54957, 2, 4
54958, 3, 4
54959, 4, 0
54960, 3, 0
54961, 8, 0
54962,10,30
54963, 6, 4
54964,-1,-1
54965, 4,30
54966, 8, 0
54967, 3, 5
54968, 5, 0
54969,-1,-1
54970,-1,-1
54971, 4, 0
54972, 0, 0
54973, 8, 0
54974,-1,-1
54975, 2,15
54976, 2, 0
54977, 2, 0
54978,98,30
54979,-1,-1
54980, 4, 0
54981,-1,-1
54982,-1,-1
54983, 4, 0
54984, 4, 0
54985, 0, 0
54986,-1,-1
54987, 0, 0
54988, 3, 0
54989, 5, 0
54990, 3, 5
54991, 2, 3
54992,-1,-1
54993,-1,-1
54994,-1,-1
54995, 6, 0
54996, 2, 0
54997, 4, 0
54998,-1,-1
54999, 6, 2
55000, 3, 0
55001, 4, 0
55002,-1,-1
55003,-1,-1
55004,-1,-1
55005, 3,15
55006,-1,-1
55007,14, 0
55008, 2, 1
55009, 4, 0
55010,-1,-1
55011, 1, 0
55012, 6,10
55013, 3, 0
55014,-1,-1
55015, 2, 0
55016, 5, 0
55017, 4, 0
55018,-1,-1
55019, 4, 0
55020,-1,-1
55021,-1,-1
55022,-1,-1
55023,12, 0
55024, 1, 4
55025, 1,10
55026,-1,-1
55027,-1,-1
55028,-1,-1
55029, 2, 0
55030, 4, 4
55031,-1,-1
55032,-1,-1
55033,-1,-1
55034,-1,-1
55035,-1,-1
55036, 3, 0
55037, 4,26
55038,-1,-1
55039,-1,-1
55040,-1,-1
55041,-1,-1
55042,-1,-1
55043,-1,-1
55044,-1,-1
55045, 4, 0
55046, 6,10
55047, 6, 0
55048, 6, 2
55049,-1,-1
55050,-1,-1
55051,-1,-1
55052,-1,-1
55053,-1,-1
55054,-1,-1
55055, 3, 1
55056,-1,-1
55057, 4, 2
55058, 6, 2
55059, 7, 0
55060,-1,-1
55061, 4, 0
55062, 0,99
55063,-1,-1
55064,-1,-1
55065, 4, 3
55066, 2, 0
55067,-1,-1
55068, 2,15
55069, 6, 5
55070, 6, 5
55071, 4, 5
55072,-1,-1
55073,-1,-1
55074, 8, 3
55075, 7, 0
55076, 5, 0
55077, 5, 2
55078,98, 0
55079,-1,-1
55080,99,99
55081, 6, 0
55082,-1,-1
55083,-1,-1
55084,-1,-1
55085, 3, 0
55086, 5, 1
55087, 6, 0
